Shipping_ID,Customer_ID,Postal_Code,City,State,Country,Shipping_Address
1,e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,27879,Jordanborough,Arkansas,Kuwait,"PSC 2224, Box 2284
APO AP 65880"
2,fa3ca35a-5540-404b-a7eb-9001cdcbd840,39336,Lake Ginatown,Georgia,Saint Vincent and the Grenadines,"83909 Johnson Mall
Tranberg, MS 99017"
3,7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,30845,Sarahville,Ohio,France,"82101 Johnson Flat
West Ryan, MS 29075"
4,4b9b409c-19f2-41c0-bc7c-6556e0647ebb,30955,Lake Michelle,Arkansas,Sao Tome and Principe,"4542 Gary Lane
South Alexander, VI 27671"
5,81b513ad-5c02-48cf-bff0-39e1440c4d22,45429,Olsenville,Mississippi,Croatia,"6794 Caroline Crescent
East Karlside, GU 81379"
6,7f6608ca-b11e-497f-9421-34ee62f9e220,96819,Priceville,South Dakota,Peru,"PSC 0419, Box 9123
APO AP 47991"
7,de08452f-8820-4b7e-a394-dba5520a9ce7,82007,West Peter,Nevada,Solomon Islands,"9400 Angela Motorway
Joannaborough, OR 84735"
8,e1ef782d-6bd8-4880-ae57-f6638c7309fc,52315,East Kevin,Maine,Ireland,"63672 Raymond Mill
Cobbview, SD 63353"
9,df6652a7-8923-431c-b49b-f57138dc1130,27390,Crystalborough,New Jersey,Portugal,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293"
10,ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,30613,Heathermouth,Nebraska,Australia,"1844 Amy Court
Cristinaport, FM 00824"
11,2a5aa693-90a5-487d-bed5-709577862299,58038,New Garybury,Washington,Myanmar,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457"
12,6c01445d-e4d3-4560-99ee-4a377d042353,22744,Christopherview,Kentucky,Korea,"0489 Tony Burg Suite 682
Brentland, LA 95298"
13,ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,59258,East Nathanielville,Maryland,Reunion,"676 Maurice Path
Lake Lisaborough, SD 06695"
14,3642f2c6-9513-4258-851a-1ca383020a5e,1711,Olsonchester,North Dakota,Bolivia,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927"
15,d345f895-73fe-4d1f-9119-090e3e22cf40,25394,North Janet,Vermont,Lebanon,"224 Santos Center Suite 540
West Matthewshire, AR 69104"
16,105dedd4-90ce-48ab-8993-d206ca55f9e4,58925,Smithville,West Virginia,Estonia,"37424 Nancy Walk
North Tony, VI 98230"
17,e919ab84-fdc0-4e10-938d-56418db183ab,31393,Lake Jasonville,Kentucky,Tunisia,"6454 Christopher Drive
Wallacemouth, WA 90990"
18,d6e4e518-cf57-443a-bd52-6e86fbcc566e,26992,South Katherineburgh,Ohio,Wallis and Futuna,"107 Richard Hill
South Georgechester, MH 31843"
19,766c89fa-2f04-4e88-b81a-732161a8c8cc,22897,Christopherside,Oklahoma,Trinidad and Tobago,"247 Mary Pine
Ericmouth, WI 87873"
20,1a547842-3a19-4957-bfd0-47957f49d7ac,48329,New Joelport,North Carolina,Australia,"42205 Young Drive
South Michaelaside, MS 46008"
21,7e1e6a0d-dc49-4d83-8e35-ebb3e62d6bbf,33098,Roberthaven,Virginia,Algeria,"77634 Timothy Drive
Port Robertland, GU 28486"
22,a9b7151b-427a-4743-86ff-e810bf475d7d,44171,South Randallstad,New York,Macao,"263 David Haven
Amymouth, CA 00599"
23,fcd095ba-9da7-4877-89e8-ffbf1d694eab,88315,Browningstad,New York,Wallis and Futuna,"643 Thomas Mountains Apt. 386
East Christophermouth, KS 00675"
24,97f80ead-3113-4cbc-b3e6-da7c182c1bf8,61751,Angelaborough,Vermont,Cameroon,"832 Matthew Streets Apt. 793
Juliaberg, DC 68369"
25,35dd03a3-d610-48bb-bf55-2e91af1e49b0,4853,South Scott,Kentucky,Montenegro,"4973 Megan Light
North Kelly, NV 23385"
26,6ac20f4e-bd84-4ef3-a10f-0d9286d0be2e,15543,Christopherchester,New Jersey,Turkmenistan,"272 Allen Roads
East Mitchell, AS 78518"
27,d2a42dba-d1c6-48fb-8570-5502e3df3d49,80852,Davisshire,Mississippi,Martinique,"445 James Fall
Lake Kimfurt, OK 68689"
28,5abc78f2-f204-46f6-98f6-68def2561faf,23405,West Jose,Indiana,Liberia,"619 David Keys Suite 405
South David, FL 68663"
29,4296123a-900d-439a-87c0-5525cadcd900,636,South Dennis,Delaware,Isle of Man,"USNS Wong
FPO AE 10909"
30,58190f47-3d69-4be5-84c1-1779b39e7d09,41079,Lisashire,Kansas,Northern Mariana Islands,"7745 Francis Station
Derekhaven, WI 19254"
31,893fc836-422b-4d37-acf7-ccb08b7ae775,79852,Williamsberg,Washington,Andorra,"80056 Melissa Gardens
Bryanthaven, OK 71796"
32,84c25e63-2b5d-4ac7-aec6-3ae95b02afd2,15961,Longchester,Georgia,Palestinian Territory,"2313 Martinez Road Suite 582
Port William, CA 01786"
33,7dace790-bced-4bb6-b388-068559ccd92a,12710,North Rebecca,Minnesota,Antarctica (the territory South of 60 deg S),"9656 Jessica Mission Apt. 152
East Stephenstad, AZ 49785"
34,59e13e12-6dbb-449c-b291-f63c47eece7d,37349,West Katherine,Kentucky,Germany,"75156 Jones Turnpike Suite 326
Brittanyburgh, VT 16067"
35,4bdbee05-f517-4ebb-9bd0-ec1f071f9e5b,16075,Kellyland,Nebraska,Swaziland,"9370 Gonzalez Ferry
Morrisonfort, TX 76548"
36,cb237dc8-8156-4ee7-ae50-9d7c8621e150,96819,Michaelside,South Dakota,Ecuador,"3423 Donald Lights Apt. 169
Kimbury, HI 42823"
37,f053d94e-fac2-40e3-9241-c56673d29984,59740,East Mary,Idaho,Madagascar,"091 Cruz Avenue Apt. 406
Reidborough, CA 31440"
38,5caed76e-f5bd-4adc-99b7-afb4b8a7f58c,80134,Pamelaland,Alaska,Cape Verde,"402 Michael Union
Mcfarlandstad, PA 26755"
39,5e08d625-4621-4d7c-b164-90486adce4b6,15153,East Matthewview,Ohio,Mauritania,"5111 Miller Circles Apt. 058
North Kathryn, AK 69280"
40,037a19a4-2c4e-4ae1-abee-e2c2c2a29e98,38760,South Mark,Michigan,Singapore,"64360 Bullock Branch
Lake Gloriachester, NM 02328"
41,110b54d1-5584-4c4e-88c9-ebdbd0147827,64195,Donaldmouth,New Jersey,Guadeloupe,"Unit 7171 Box 8403
DPO AE 63505"
